layer,sae_id,token_population,token_count,raw_mse,relative_l2_error,existing_normalized_mse,existing_explained_variance,audited_featurewise_normalized_mse,audited_featurewise_explained_variance,audited_mean_l0,nan_or_inf_found,input_sha256,features_sha256,reconstruction_sha256,peak_vram_bytes
9,layer_9/width_16k/average_l0_47,all_tokens,1424,215.263311457878,3.873582626071068,15.012310888776813,-14.012310888776813,17.584566916908827,-16.584566916908827,121.32303370786516,False,4383b3b702bfb6f6da12aeadcc14fe31ae7850a74971064b606d35ceeea377e5,9581137a985ee7dac8e36dba0efa73b4057d60fa6c43866ab62f50325df7e07e,9f4d02df7596e61dca84e10229f21f6c8da50e8ab3a06e40c8c27a9f134b3b40,24018644992
9,layer_9/width_16k/average_l0_47,content_tokens,1360,0.8410955893791189,0.4150764658577756,0.1723183930543173,0.8276816069456827,0.2639888115680373,0.7360111884319627,46.14558823529412,False,4383b3b702bfb6f6da12aeadcc14fe31ae7850a74971064b606d35ceeea377e5,9581137a985ee7dac8e36dba0efa73b4057d60fa6c43866ab62f50325df7e07e,9f4d02df7596e61dca84e10229f21f6c8da50e8ab3a06e40c8c27a9f134b3b40,24018644992
20,layer_20/width_16k/average_l0_47,all_tokens,1424,468.0292270363068,2.247314049121819,5.052739040772604,-4.052739040772604,6.723579141604237,-5.723579141604237,107.1755617977528,False,733eb90d4652a435e0d37b2378f82ee1a2a5d2a008e2bd9c255a1c884e149467,0c57f2ab63510007727998d471ce7b46977ca604f0678dc39014db536aaaaf78,0f4ef901dfcd1963a74f145047ed42543e625d9daf0417dbc7fa31813723b193,24018644992
20,layer_20/width_16k/average_l0_47,content_tokens,1360,4.758093945330312,0.3677105496244487,0.13525030325924203,0.864749696740758,0.25921450699444953,0.7407854930055504,52.51176470588236,False,733eb90d4652a435e0d37b2378f82ee1a2a5d2a008e2bd9c255a1c884e149467,0c57f2ab63510007727998d471ce7b46977ca604f0678dc39014db536aaaaf78,0f4ef901dfcd1963a74f145047ed42543e625d9daf0417dbc7fa31813723b193,24018644992
31,layer_31/width_16k/average_l0_43,all_tokens,1424,1564.4926072014637,2.4632667748646435,6.07027504066419,-5.07027504066419,7.642514877077044,-6.642514877077044,123.40800561797752,False,30bd605c8ace319edb2d7d4990f47026cefc3e912c0c7ba9890f99f065c56e6c,27d716745075e255229c6d5bc8f9f4dd96b74b90d555ca76fbe0957429159629,f15e095af76f87ae96c6d1a9c988bea3dc6c9837a61ef1494607abdd7fc947d4,24018644992
31,layer_31/width_16k/average_l0_43,content_tokens,1360,10.36077292336897,0.3714827386344901,0.13802653727183511,0.8619734627281649,0.3024439662164767,0.6975560337835234,45.61029411764706,False,30bd605c8ace319edb2d7d4990f47026cefc3e912c0c7ba9890f99f065c56e6c,27d716745075e255229c6d5bc8f9f4dd96b74b90d555ca76fbe0957429159629,f15e095af76f87ae96c6d1a9c988bea3dc6c9837a61ef1494607abdd7fc947d4,24018644992
