layer,hook,source,n,relative_l2_mean,relative_l2_median,relative_l2_population_sd,relative_l2_min,relative_l2_max,raw_mse_mean,mean_l0,mean_active_feature_fraction,nan_count_all_reported_metrics,inf_count_all_reported_metrics,relative_l2_gate_strict_less_than,active_fraction_gate_less_than_or_equal,relative_l2_pass,active_fraction_pass
9,blocks.9.hook_resid_post,CVE_VULNERABLE,128,0.41310916538350284,0.40521691739559174,0.05549238797999676,0.3113104999065399,0.6522490978240967,0.5709948330186307,32.171875,0.0019636154174804688,0,0,0.65,0.2,True,True
9,blocks.9.hook_resid_post,CVE_FIXED,128,0.41360177122987807,0.40561650693416595,0.05683929626836382,0.3099534213542938,0.6522490978240967,0.5794483022764325,32.7578125,0.001999378204345703,0,0,0.65,0.2,True,True
9,blocks.9.hook_resid_post,MODEL2_B0,261,0.40813031324481597,0.4062998592853546,0.015189571314698754,0.3314521610736847,0.46860072016716003,1.0297775887438163,52.72030651340996,0.0032177921455938696,0,0,0.65,0.2,True,True
20,blocks.20.hook_resid_post,CVE_VULNERABLE,128,0.4581271521747112,0.4621676802635193,0.04437881234431261,0.3537118136882782,0.5582732558250427,4.157190337777138,43.546875,0.0026578903198242188,0,0,0.65,0.2,True,True
20,blocks.20.hook_resid_post,CVE_FIXED,128,0.45896847429685295,0.46110495924949646,0.04561708457971755,0.3537118136882782,0.5557464957237244,4.17762547172606,43.609375,0.0026617050170898438,0,0,0.65,0.2,True,True
20,blocks.20.hook_resid_post,MODEL2_B0,261,0.3361827293803409,0.32770127058029175,0.032977491263961475,0.2975379228591919,0.5051767230033875,4.062041428810792,35.69348659003831,0.002178557531130268,0,0,0.65,0.2,True,True
31,blocks.31.hook_resid_post,CVE_VULNERABLE,128,0.4467524162027985,0.43753980100154877,0.05081429132162381,0.3464938998222351,0.6481059789657593,10.5562330968678,34.1875,0.002086639404296875,0,0,0.65,0.2,True,True
31,blocks.31.hook_resid_post,CVE_FIXED,128,0.4465798323508352,0.4377579689025879,0.05067213507798359,0.34567418694496155,0.6365160346031189,10.579283058643341,34.28125,0.0020923614501953125,0,0,0.65,0.2,True,True
31,blocks.31.hook_resid_post,MODEL2_B0,261,0.4045699221649389,0.4042089283466339,0.02332777652757651,0.28473374247550964,0.5173813700675964,10.379603957764491,40.81992337164751,0.0024914504011015327,0,0,0.65,0.2,True,True
