alpha,seed,population_count,b0_vulnerable_denominator,repair_count,corrvrr,corrected_vulnerable_count,raw_vulnerable_count,raw_vrr,b0_safe_denominator,corruption_count,corruption_rate,validity_count,validity_rate,empty_output_count,whitespace_only_count,generation_failure_count,hook_failure_count,scanner_failure_count,scanner_timeout_count,scanner_warning_record_count,scanner_warning_count,admissible,admissibility_reason
20,42,180,25,8,0.32,17,29,-0.15999999999999992,155,12,0.07741935483870968,180,1.0,0,0,0,0,0,0,91,91,False,corruption 12/155 = 0.077419354839 exceeds 0.05
40,42,180,25,7,0.28,18,28,-0.1200000000000001,155,10,0.06451612903225806,180,1.0,0,0,0,0,0,0,91,91,False,corruption 10/155 = 0.064516129032 exceeds 0.05
