weight_id,histogram_weight,mean_difference_weight,ks_weight,cwe,layer,n_unsafe,n_safe_used,n_safe_before_balance,top1_feature,top1_score,top10_features,top200_features,frozen_bstar_feature,frozen_bstar_rank,frozen_bstar_rank_change_from_w1,frozen_bstar_top10,frozen_bstar_top200,frozen_bstar_in_saved_candidate_set,diagnostic_only
W1,0.4,0.4,0.2,CWE-89,16,7,35,1334,6986,2.05732369423,"[6986,9342,2917,5407,28279,17518,1940,325,18646,9287]","[6986,9342,2917,5407,28279,17518,1940,325,18646,9287,3203,17357,12751,22902,26334,6093,9250,23278,10281,1334,17703,29862,10214,3,10295,32748,10028,26585,26093,13790,10210,19880,13614,12074,15262,9144,21430,7775,7839,16532,8809,17465,13346,16523,12866,12340,3944,3219,1212,23681,15589,8362,28958,27644,9416,25627,25717,5570,11242,22847,11380,2171,25208,5294,15639,1523,29409,1954,11031,26249,8312,22720,29561,23070,10605,14739,23102,11815,30728,19743,5783,29510,8167,8619,28929,2726,8413,11877,10758,6426,22911,24621,27859,5724,9391,9355,3579,11413,3897,3959,28202,24686,6025,32704,8432,29444,8890,14129,193,26810,9816,20918,21837,1381,11578,13382,16656,10492,17625,5035,23811,11782,13261,27455,13174,1320,1611,412,4325,9016,17868,31399,27755,32352,5834,20500,7020,5948,30478,10203,16817,7724,958,28091,19907,28106,18608,9255,7774,21892,7977,28986,3625,17084,15386,25977,15564,22670,22138,15693,20510,22149,20830,5225,18857,11177,13478,32130,8542,26373,7328,3845,14882,26704,32485,8076,14376,18133,5951,1710,28170,3497,26274,15437,5640,22416,29814,30017,32551,32629,6129,28855,6422,3722,12757,29799,16334,28421,9465,25616]",,,,,,,true
W2,0.333333333333,0.333333333333,0.333333333333,CWE-89,16,7,35,1334,6986,1.79062700272,"[6986,9342,2917,5407,17518,28279,18646,1940,325,9287]","[6986,9342,2917,5407,17518,28279,18646,1940,325,9287,22902,6093,3203,10281,17357,12751,26334,9250,23278,29862,10214,1334,32748,17703,3,10295,13790,10028,10210,19880,9144,26585,26093,7839,13614,7775,12074,15262,21430,16532,8809,17465,13346,16523,12866,12340,25717,3944,3219,8362,1212,23681,9416,15589,28958,27644,25627,5570,11242,15639,25208,22847,11380,2171,5294,1523,29409,1954,26249,8312,29561,23070,14739,22720,10605,11031,23102,11815,11877,30728,19743,5783,29510,8619,28929,2726,8413,6426,10758,22911,27859,5724,8167,9391,9355,3579,11413,24621,3897,3959,28202,24686,6025,32704,8432,29444,8890,14129,193,26810,9816,20918,21837,1381,13382,16656,10492,17625,5035,23811,11782,13261,27455,13174,1611,412,4325,9016,17868,31399,27755,32352,5834,20500,7020,11578,5948,1320,30478,10203,16817,7724,958,15386,28091,19907,28106,18608,9255,21892,7977,28986,3625,17084,25977,22670,22138,15693,20510,22149,20830,7774,18857,11177,15564,13478,32130,8542,5225,14882,26373,7328,3845,26704,8076,5951,1710,28170,32485,6129,14376,26274,18133,3497,15437,5640,22416,29814,9465,32629,6422,29799,30017,16334,3722,12757,32551,28855,25616,28421]",,,,,,,true
W3,0.5,0.3,0.2,CWE-89,16,7,35,1334,6986,1.70870709419,"[6986,9342,2917,5407,17518,28279,18646,9287,1940,6093]","[6986,9342,2917,5407,17518,28279,18646,9287,1940,6093,325,10281,22902,1334,3203,26334,17357,12751,29862,9250,23278,7839,10214,32748,13790,17703,10028,10210,19880,3,10295,9144,26585,7775,26093,13614,12074,15262,21430,16532,8809,17465,13346,25717,16523,12866,12340,3944,8362,3219,9416,1212,23681,15589,28958,15639,27644,25627,25208,5570,11242,22847,11380,2171,5294,19743,1523,29409,1954,10758,26249,8312,15386,14739,29561,23070,11877,10605,22720,23102,11815,30728,5783,29510,8619,28929,2726,8413,11031,6426,22911,27859,5724,9391,24621,9355,3579,9816,11413,3897,3959,28202,24686,8167,6025,32704,8432,29444,16656,8890,14129,193,26810,20918,21837,1381,13382,10492,17625,5035,23811,28170,11782,13261,27455,13174,1611,412,4325,9016,17868,1320,31399,27755,32352,5834,20500,7020,5948,30478,10203,16817,7724,958,28091,19907,6129,28106,18608,9255,21892,9465,7977,11578,28986,3625,17084,7774,25977,14376,22670,26704,15564,22138,15693,20510,22149,20830,29799,18857,11177,13478,5225,32130,1710,8542,26373,14882,3845,7328,8076,18133,3497,32485,15437,5951,26274,22416,29814,32629,5640,16334,6422,30017,3722,12757,32551,17395,25616,28855]",,,,,,,true
W4,0.3,0.5,0.2,CWE-89,16,7,35,1334,6986,2.40594029427,"[6986,9342,2917,5407,28279,1940,17518,325,18646,9287]","[6986,9342,2917,5407,28279,1940,17518,325,18646,9287,3203,17357,12751,26334,9250,23278,22902,17703,10281,3,6093,10295,10214,26585,29862,1334,26093,10028,13614,12074,32748,15262,21430,13790,9144,10210,19880,16532,7775,8809,17465,13346,16523,12866,12340,3944,3219,1212,23681,15589,28958,27644,25627,8362,5570,9416,11242,22847,11380,7839,2171,11031,5294,25208,1523,25717,29409,15639,1954,22720,26249,8312,29561,23070,8167,10605,23102,14739,11815,30728,5783,29510,8619,28929,2726,8413,6426,24621,22911,27859,5724,9391,9355,3579,11877,11413,3897,3959,28202,11578,24686,6025,10758,32704,8432,19743,29444,8890,14129,193,26810,20918,21837,1381,13382,10492,17625,5035,23811,11782,16656,1320,13261,27455,13174,1611,9816,412,4325,9016,17868,31399,27755,32352,5834,20500,7020,5948,30478,10203,16817,7724,958,28091,19907,28106,18608,7774,9255,21892,7977,15564,28986,3625,17084,25977,22670,22138,15693,20510,22149,20830,5225,18857,7328,11177,13478,32130,26373,8542,3845,14882,32485,5951,32551,8076,18133,28855,26274,3497,30017,5640,28421,15437,26704,3722,12757,1710,22416,29814,14376,6422,32629,17281,25616,25550,24959,16334,11674,31225]",,,,,,,true
W5,0.4,0.3,0.3,CWE-89,16,7,35,1334,6986,1.68299293518,"[6986,9342,2917,5407,17518,28279,18646,9287,1940,325]","[6986,9342,2917,5407,17518,28279,18646,9287,1940,325,6093,22902,10281,3203,26334,17357,12751,29862,1334,9250,23278,10214,32748,7839,13790,17703,10028,10210,19880,3,10295,9144,7775,26585,26093,13614,12074,15262,21430,16532,8809,17465,13346,25717,16523,12866,12340,3944,8362,3219,9416,1212,23681,15589,28958,15639,27644,25627,25208,5570,11242,22847,11380,2171,5294,1523,29409,1954,26249,8312,19743,14739,29561,23070,10605,11877,22720,23102,10758,11815,30728,5783,29510,8619,28929,2726,8413,11031,6426,15386,22911,27859,5724,9391,9355,3579,11413,24621,3897,3959,28202,24686,8167,6025,9816,32704,8432,29444,8890,14129,16656,193,26810,20918,21837,1381,13382,10492,17625,5035,23811,11782,13261,27455,13174,1611,412,4325,9016,17868,31399,27755,32352,5834,20500,7020,5948,1320,30478,10203,16817,7724,958,28091,19907,28106,18608,9255,21892,7977,11578,28986,3625,17084,25977,22670,22138,15693,20510,22149,20830,7774,28170,18857,11177,15564,13478,32130,6129,8542,26704,5225,14882,1710,14376,26373,3845,9465,7328,8076,5951,29799,18133,32485,3497,26274,15437,5640,22416,29814,32629,16334,6422,30017,3722,12757,32551,17395,25616,28855]",,,,,,,true
W1,0.4,0.4,0.2,CWE-338,16,5,25,1336,6986,3.48816108704,"[6986,8362,5407,9465,9287,23278,10210,26334,7384,28644]","[6986,8362,5407,9465,9287,23278,10210,26334,7384,28644,26704,2917,30332,29862,10281,12340,16033,3791,16532,23681,9342,27644,10028,5570,1710,9816,28170,11877,24755,14783,29380,19743,7839,8413,22911,22892,15506,25100,24686,24519,25882,10758,26810,20918,1381,13382,9911,10492,9416,27973,23811,14739,11782,10726,8067,4325,17868,5834,30478,7724,19907,21892,12384,1334,15693,20510,29799,31902,15639,19441,8526,10675,20183,15016,14521,10458,11510,20808,7057,11802,5721,22138,28710,1709,23573,26373,7177,32485,13435,12029,9960,19342,23961,14812,24656,15986,1940,6093,19331,32215,14376,6312,10332,17518,14030,25135,3177,19880,2939,25208,30944,15386,1520,26585,32266,10895,25717,3845,4025,17348,867,11315,25616,17395,20966,14315,4011,212,13416,27640,17634,6871,10124,26819,20752,5083,14851,8076,16045,2581,9144,10214,5640,23051,26487,30906,5951,22880,10146,686,31234,24959,11578,27435,20375,18133,31663,24491,1853,17357,6747,4118,26016,9298,16656,22601,15432,2573,605,28783,14440,13790,9712,5252,15955,29106,5034,6219,3127,27549,16674,7810,28125,20652,13697,18577,31368,1960,14204,11635,17240,13444,28905,4395,1019,18725,14697,26105,28108,3846]",,,,,,,true
W2,0.333333333333,0.333333333333,0.333333333333,CWE-338,16,5,25,1336,6986,3.0268008709,"[6986,5407,8362,9287,9465,23278,10210,26334,28644,7384]","[6986,5407,8362,9287,9465,23278,10210,26334,28644,7384,26704,2917,29862,30332,10281,12340,16033,3791,16532,10028,23681,9342,27644,5570,1710,9816,28170,11877,14783,19743,24755,29380,7839,8413,22911,22892,24686,15506,25100,24519,26810,20918,1381,13382,25882,10492,10758,9416,23811,9911,14739,11782,4325,17868,5834,10726,8067,30478,27973,7724,19907,21892,1334,15693,20510,12384,15639,31902,29799,19441,8526,10675,20183,15016,14521,10458,11510,20808,7057,11802,22138,28710,1709,32485,23573,5721,7177,13435,26373,23961,12029,19342,24656,9960,15986,14812,6093,14376,1940,32215,6312,15386,17518,14030,25135,3177,19331,19880,25208,10332,2939,30944,1520,25717,32266,26585,17348,3845,17395,20966,4025,867,10895,11315,25616,14315,4011,212,27640,17634,6871,10124,26819,5083,14851,8076,13416,9144,10214,20752,5640,5951,22880,16045,10146,2581,24959,11578,23051,27435,18133,26487,30906,16656,1853,6747,686,31234,20375,31663,24491,2573,605,17357,4118,26016,13790,9298,15955,5034,6219,3127,16674,22601,15432,28783,18577,26274,14440,9712,5252,11635,29106,27549,7810,28125,20652,13697,31368,1960,14204,17240,13444,30638,28905,4395,1019,18725,14697,26105]",,,,,,,true
W3,0.5,0.3,0.2,CWE-338,16,5,25,1336,6986,2.79612064362,"[6986,5407,8362,9287,9465,10210,23278,26334,28644,26704]","[6986,5407,8362,9287,9465,10210,23278,26334,28644,26704,7384,29862,2917,10281,30332,9342,10028,12340,3791,16033,16532,23681,27644,5570,1710,9816,28170,11877,19743,7839,24755,14783,29380,1334,8413,22911,24686,22892,15506,25100,24519,26810,20918,1381,13382,10492,9416,25882,23811,14739,10758,11782,9911,4325,17868,5834,30478,7724,19907,10726,8067,21892,27973,15693,20510,15639,12384,31902,19441,29799,10675,20183,15016,8526,14521,10458,11510,22138,20808,7057,11802,28710,1709,23573,6093,7177,26373,13435,14376,32485,5721,19342,24656,23961,15986,12029,9960,14812,25208,15386,32215,6312,25717,1940,17518,14030,25135,3177,19880,17348,17395,10332,19331,2939,30944,1520,32266,20966,3845,4025,26585,867,11315,25616,10895,14315,4011,212,16656,27640,17634,6871,10124,26819,5083,14851,8076,9144,10214,13416,5640,5951,22880,20752,10146,24959,11578,27435,16045,18133,2581,1853,23051,6747,26487,30906,26274,2573,605,686,31234,20375,31663,24491,13790,15955,5034,6219,3127,16674,17357,4118,26016,30638,18577,9298,22601,11635,15432,28783,14440,9712,5252,29106,27549,7810,28125,20652,13697,31368,1960,14204,17240,13444,28905,4395,1019,18725,14697,26105]",,,,,,,true
W4,0.3,0.5,0.2,CWE-338,16,5,25,1336,6986,4.18020105362,"[6986,8362,5407,23278,9465,9287,26334,10210,7384,28644]","[6986,8362,5407,23278,9465,9287,26334,10210,7384,28644,30332,2917,26704,29862,10281,16033,12340,3791,16532,23681,27644,5570,1710,9342,10028,28170,24755,11877,9816,14783,29380,19743,7839,8413,22892,22911,15506,25100,24519,24686,25882,10758,27973,9911,26810,20918,1381,13382,10492,10726,9416,8067,23811,14739,11782,4325,17868,5834,30478,7724,29799,12384,19907,21892,31902,8526,15693,20510,19441,15639,10675,20183,15016,5721,14521,10458,11510,20808,7057,12029,11802,1334,28710,1709,9960,23573,22138,26373,32485,7177,14812,13435,1940,23961,19342,19331,24656,15986,10332,32215,26585,2939,6312,30944,17518,14030,25135,3177,1520,10895,19880,32266,3845,4025,25208,867,11315,25616,15386,14315,13416,20966,4011,25717,212,20752,6093,27640,17634,16045,17348,6871,2581,10124,26819,17395,14376,5083,14851,23051,8076,26487,30906,9144,10214,686,31234,5640,20375,31663,24491,5951,22880,10146,17357,4118,26016,9298,24959,11578,27435,18133,22601,15432,1853,28783,6747,14440,9712,5252,29106,27549,2573,7810,28125,20652,605,13697,13790,31368,1960,14204,15955,5034,17240,6219,3127,16674,13444,18577,28905,4395,1019,11635,18725,14697,26105,28108,3846,18646]",,,,,,,true
W5,0.4,0.3,0.3,CWE-338,16,5,25,1336,6986,2.79612088203,"[6986,5407,8362,9287,9465,10210,23278,26334,28644,26704]","[6986,5407,8362,9287,9465,10210,23278,26334,28644,26704,7384,2917,29862,10281,30332,12340,10028,9342,3791,16033,16532,23681,27644,5570,1710,9816,28170,11877,19743,14783,24755,29380,7839,8413,22911,24686,22892,15506,1334,25100,24519,26810,20918,1381,13382,10492,9416,25882,23811,14739,10758,11782,9911,4325,17868,5834,30478,7724,19907,10726,8067,21892,27973,15693,20510,15639,12384,31902,19441,29799,10675,20183,15016,8526,14521,10458,11510,20808,7057,11802,22138,28710,1709,23573,7177,32485,13435,26373,6093,5721,23961,14376,19342,24656,12029,15986,9960,14812,15386,32215,25208,6312,1940,17518,14030,25135,3177,19880,25717,10332,19331,17348,17395,2939,30944,1520,32266,20966,3845,4025,26585,867,11315,25616,10895,14315,4011,212,27640,17634,6871,10124,26819,5083,14851,8076,16656,9144,10214,13416,5640,5951,22880,20752,10146,24959,11578,27435,16045,18133,2581,1853,23051,6747,26487,30906,26274,2573,605,686,31234,20375,31663,24491,13790,15955,5034,6219,3127,16674,17357,4118,26016,18577,9298,22601,11635,15432,28783,30638,14440,9712,5252,29106,27549,7810,28125,20652,13697,31368,1960,14204,17240,13444,28905,4395,1019,18725,14697,26105]",,,,,,,true
