condition,information_tier,seed,total_prompts,scanner_universe_count,scanner_eligible_count,scanner_skipped_count,b0_vulnerable_denominator,repair_count,corrvrr,corrected_vulnerable_count,raw_vulnerable_count,b0_safe_denominator,raw_vrr,corruption_count,corruption_rate,validity_count,validity_rate,strict_empty_count,whitespace_only_count,generation_failure_count,zero_hook_call_count,generation_sha256,scan_sha256
B0,NO_INTERVENTION_BASELINE,42,575,392,392,183,28,0,0.000000,28,28,364,0.000000,0,0.000000,575,1.000000,0,0,NOT_AVAILABLE,NOT_APPLICABLE,d532f612af2a5d25ece5f6292e46f9d3bb3722518aba4b78050c1f4c9e234488,250265bf336852de78ff467e456e9f11378357df9462002037a2df0627669560
B*-AlwaysOn-L19,METADATA_FREE,42,575,392,224,351,28,12,0.428571,16,0,364,1.000000,0,0.000000,382,0.664348,0,193,0,0,8f9c7c10b9c1eb2a5c716d91ade10bc68fec9c2fca77ea205c5d6d42cb5e688d,05e0b7c223fa7dc87a0d5b8a2e0ae5457ddfdd1da94bd452e597919e080e3c7b
