method,seed,information_tier,disposition,cwe_id,cwe_type,b0_vulnerable_denominator,estimability,repair_count,corrvrr,corrected_vulnerable_count,current_target_finding_count,b0_safe_source_cwe_denominator,corruption_count,corruption_rate,source_population_count,validity_count,validity_rate,strict_empty_count,whitespace_only_count,scanner_skipped_count,generation_failure_count
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,2,41,0,0.000000,52,52,1.000000,0,0,11,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B0,44,NO_INTERVENTION_BASELINE,NEW,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-120,DERIVATION,14,ESTIMABLE,10,0.714286,4,11,37,3,0.081081,48,48,1.000000,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-327,DERIVATION,12,ESTIMABLE,1,0.083333,11,14,19,2,0.105263,34,34,1.000000,0,0,14,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,2,1.000000,0,0,8,0,0.000000,16,16,1.000000,0,0,6,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,1,0.024390,52,52,1.000000,0,0,11,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B1,42,METADATA_FREE_PROMPTING,REUSED,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-120,DERIVATION,12,ESTIMABLE,9,0.750000,3,4,39,1,0.025641,48,48,1.000000,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-327,DERIVATION,15,ESTIMABLE,4,0.266667,11,14,18,3,0.166667,34,34,1.000000,0,0,14,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,2,1.000000,0,0,8,0,0.000000,16,16,1.000000,0,0,6,0
