seed,scope,cwe_identifier,language,physical_prompt_seed_n,b0_valid_count,routed_valid_count,b0_empty_count,routed_empty_count,b0_target_positive_count,routed_target_positive_count,b0_any_finding_count,routed_any_finding_count,qualified_unsafe_n,repair_count,corrvrr,corrvrr_wilson95_lower,corrvrr_wilson95_upper,unsafe_invalid_count,unsafe_invalid_rate,qualified_safe_n,corruption_count,corruption_rate,corruption_wilson95_lower,corruption_wilson95_upper,other_baseline_finding_n,target_negative_n,target_regression_count,target_regression_rate,target_regression_wilson95_lower,target_regression_wilson95_upper,target_mcnemar_b,target_mcnemar_c,target_mcnemar_exact_p,changed_case_count,evaluation_status
44,CWE,CWE-120,ALL,48,48,48,0,0,8,7,8,7,8,2,0.25,0.071479212752109,0.5907245696898311,0,0.0,40,1,0.025,0.0044268315026814095,0.1288136896347409,0,40,1,0.025,0.0044268315026814095,0.1288136896347409,2,1,1.0,3,EVALUATED
44,CWE,CWE-327,ALL,20,20,20,0,0,2,3,2,3,2,0,0.0,0.0,0.6576197724933469,0,0.0,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,0,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,0,1,1.0,1,EVALUATED
44,CWE,CWE-89,ALL,10,10,10,0,0,2,2,2,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,8,0,0.0,0.0,0.32440756488388023,0,8,0,0.0,0.0,0.32440756488388023,0,0,1.0,0,EVALUATED
44,CWE_LANGUAGE,CWE-120,c,32,32,32,0,0,8,7,8,7,8,2,0.25,0.071479212752109,0.5907245696898311,0,0.0,24,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,0,24,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,2,1,1.0,3,EVALUATED
44,CWE_LANGUAGE,CWE-120,cpp,16,16,16,0,0,0,0,0,0,0,0,,,,0,,16,0,0.0,0.0,0.1936076805344365,0,16,0,0.0,0.0,0.1936076805344365,0,0,1.0,0,CORRVRR_NOT_EVALUABLE_ZERO_BASELINE_TARGET_FINDINGS
44,CWE_LANGUAGE,CWE-327,java,20,20,20,0,0,2,3,2,3,2,0,0.0,0.0,0.6576197724933469,0,0.0,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,0,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594,0,1,1.0,1,EVALUATED
44,CWE_LANGUAGE,CWE-89,python,10,10,10,0,0,2,2,2,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,8,0,0.0,0.0,0.32440756488388023,0,8,0,0.0,0.0,0.32440756488388023,0,0,1.0,0,EVALUATED
ALL_SEEDS,OVERALL_MICRO,ALL,ALL,234,234,234,0,0,37,30,37,30,37,10,0.2702702702702703,0.15397461511049093,0.4297816832471427,0,0.0,197,3,0.015228426395939087,0.005192319872040753,0.04380881205799724,0,197,3,0.015228426395939087,0.005192319872040753,0.04380881205799724,10,3,0.09228515625,13,EVALUATED
ALL_SEEDS,CWE,CWE-120,ALL,144,144,144,0,0,24,17,24,17,24,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,0,0.0,120,1,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0,120,1,0.008333333333333333,0.0014725557333420923,0.045696291245049675,8,1,0.0390625,9,EVALUATED
ALL_SEEDS,CWE,CWE-327,ALL,60,60,60,0,0,6,7,6,7,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0,0.0,54,1,0.018518518518518517,0.003276487718229061,0.09771437488781931,0,54,1,0.018518518518518517,0.003276487718229061,0.09771437488781931,0,1,1.0,1,EVALUATED
ALL_SEEDS,CWE,CWE-89,ALL,30,30,30,0,0,7,6,7,6,7,2,0.2857142857142857,0.08221892400405678,0.6410655481673808,0,0.0,23,1,0.043478260869565216,0.007716666143453149,0.20991155070258877,0,23,1,0.043478260869565216,0.007716666143453149,0.20991155070258877,2,1,1.0,3,EVALUATED
ALL_SEEDS,CWE_LANGUAGE,CWE-120,c,96,96,96,0,0,24,17,24,17,24,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,0,0.0,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,0,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,8,1,0.0390625,9,EVALUATED
ALL_SEEDS,CWE_LANGUAGE,CWE-120,cpp,48,48,48,0,0,0,0,0,0,0,0,,,,0,,48,0,0.0,6.938893903907228e-18,0.07410012966611748,0,48,0,0.0,6.938893903907228e-18,0.07410012966611748,0,0,1.0,0,CORRVRR_NOT_EVALUABLE_ZERO_BASELINE_TARGET_FINDINGS
ALL_SEEDS,CWE_LANGUAGE,CWE-327,java,60,60,60,0,0,6,7,6,7,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0,0.0,54,1,0.018518518518518517,0.003276487718229061,0.09771437488781931,0,54,1,0.018518518518518517,0.003276487718229061,0.09771437488781931,0,1,1.0,1,EVALUATED
ALL_SEEDS,CWE_LANGUAGE,CWE-89,python,30,30,30,0,0,7,6,7,6,7,2,0.2857142857142857,0.08221892400405678,0.6410655481673808,0,0.0,23,1,0.043478260869565216,0.007716666143453149,0.20991155070258877,0,23,1,0.043478260869565216,0.007716666143453149,0.20991155070258877,2,1,1.0,3,EVALUATED
