layer,status,mse,normalized_mse,explained_variance,mean_cosine_similarity,mean_l0,baseline_cross_entropy,reconstructed_cross_entropy,zero_ablation_cross_entropy,fraction_loss_recovered,gate_status
7,COMPATIBLE,0.04057798162102699,0.07536706328392029,0.9246329069137573,0.9613752365112305,18.0,4.314135551452637,4.082831382751465,10.625703811645508,1.036647653826389,PASS
15,COMPATIBLE,0.11949091404676437,0.10313847661018372,0.8968615531921387,0.9586376547813416,17.90909194946289,4.314135551452637,4.028992652893066,12.35205364227295,1.035474720610206,PASS
23,COMPATIBLE,1.4240666627883911,0.18184179067611694,0.8181582093238831,0.9185225367546082,13.727272987365723,4.314135551452637,4.504817008972168,12.327386856079102,0.9762042334290152,PASS
