target_cwe,layer,feature_id,statistical_rank,screening_alpha,qualified_unsafe_n,repair_count,repair_rate,qualified_safe_n,corruption_count,corruption_rate,unsafe_invalid_count,invalid_rate,validated
CWE-89,7,33426,7,1.6336020231246948,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,7,67596,8,3.358853816986084,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,7,84974,9,2.161546230316162,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,7,1113,10,1.6957261562347412,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,72254,1,5.064250946044922,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,97476,2,7.5629401206970215,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,71502,3,3.484086036682129,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,50152,4,5.900914192199707,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,99430,6,3.106515407562256,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,40868,7,3.688389301300049,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,36058,8,5.739227294921875,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,29355,9,3.844501256942749,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,15,62088,10,5.006107330322266,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,15,15524,11,19.329051971435547,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,20540,1,39.48664474487305,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,24002,2,70.8768539428711,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,23819,3,10.275594711303711,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,86386,4,15.27588939666748,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,26822,5,8.359808921813965,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,31434,6,10.395170211791992,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,106774,7,9.797513008117676,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,42521,8,17.300100326538086,5,1,0.2,5,0,0.0,0,0.0,True
CWE-89,23,108596,10,12.572772026062012,5,0,0.0,5,0,0.0,0,0.0,False
CWE-89,23,79031,12,8.415994644165039,5,1,0.2,5,0,0.0,0,0.0,True
