feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
12340,16,CWE-120,0.2025,0.0857,0.3777,0.0857,0.1429,0.1786,True,cyber_dev
1218,16,CWE-120,0.2017,0.0714,0.3972,0.0714,0.0714,0.0121,True,cyber_dev
14521,16,CWE-120,0.1983,0.1429,0.3172,0.0714,0.1429,0.0573,True,cyber_dev
16033,16,CWE-120,0.1947,0.0714,0.3796,0.0714,0.0714,0.0294,True,cyber_dev
16532,16,CWE-120,0.1923,0.0857,0.3523,0.0857,0.1429,0.1801,True,cyber_dev
23681,16,CWE-120,0.1921,0.0857,0.3517,0.0857,0.1429,0.1778,True,cyber_dev
28170,16,CWE-120,0.1897,0.0857,0.3458,0.0857,0.1429,0.1937,True,cyber_dev
19880,16,CWE-120,0.1893,0.1286,0.2733,0.1429,0.0714,0.0814,True,cyber_dev
24954,16,CWE-120,0.1882,0.0714,0.3633,0.0714,0.0714,0.0015,True,cyber_dev
5570,16,CWE-120,0.1863,0.0857,0.3372,0.0857,0.1429,0.1786,True,cyber_dev
917,16,CWE-120,0.1863,0.0714,0.3585,0.0714,0.0714,0.0098,True,cyber_dev
497,16,CWE-120,0.1862,0.0714,0.3582,0.0714,0.0714,0.003,True,cyber_dev
9416,16,CWE-120,0.1844,0.1,0.3109,0.1,0.1429,0.2065,True,cyber_dev
6093,16,CWE-120,0.1814,0.3429,0.0106,0.2,0.4286,0.5471,True,cyber_dev
5704,16,CWE-120,0.1795,0.0857,0.3203,0.0857,0.0,0.0558,False,cyber_dev
22367,16,CWE-120,0.1795,0.1286,0.2774,0.0857,0.1429,0.0301,True,cyber_dev
22111,16,CWE-120,0.1793,0.1286,0.2625,0.1143,0.1429,0.0203,True,cyber_dev
19535,16,CWE-120,0.1788,0.1429,0.2398,0.1286,0.1429,0.0354,True,cyber_dev
22138,16,CWE-120,0.1768,0.1143,0.2705,0.1143,0.1429,0.2005,True,cyber_dev
22023,16,CWE-120,0.1766,0.0714,0.3343,0.0714,0.0714,0.003,True,cyber_dev
8185,16,CWE-120,0.1742,0.0714,0.3285,0.0714,0.0714,0.0015,True,cyber_dev
947,16,CWE-120,0.1741,0.0714,0.328,0.0714,0.0714,0.0068,True,cyber_dev
25717,16,CWE-120,0.174,0.1571,0.2207,0.1143,0.2143,0.2924,True,cyber_dev
1760,16,CWE-120,0.1728,0.0714,0.3248,0.0714,0.0714,0.0015,True,cyber_dev
28644,16,CWE-120,0.1718,0.0857,0.301,0.0857,0.0,0.0723,False,cyber_dev
24137,16,CWE-120,0.1711,0.0714,0.3206,0.0714,0.0714,0.0015,True,cyber_dev
19458,16,CWE-120,0.1709,0.0714,0.32,0.0714,0.0714,0.0015,True,cyber_dev
15182,16,CWE-120,0.1705,0.0714,0.3192,0.0714,0.0714,0.0053,True,cyber_dev
22094,16,CWE-120,0.1705,0.0714,0.3191,0.0714,0.0714,0.0,True,cyber_dev
28091,16,CWE-120,0.1703,0.0714,0.3187,0.0714,0.0714,0.0083,True,cyber_dev
19401,16,CWE-120,0.1689,0.0714,0.3151,0.0714,0.0714,0.0008,True,cyber_dev
30067,16,CWE-120,0.1675,0.0714,0.3116,0.0714,0.0714,0.0241,True,cyber_dev
10118,16,CWE-120,0.1661,0.0714,0.3082,0.0714,0.0714,0.0015,True,cyber_dev
19107,16,CWE-120,0.1659,0.0714,0.3076,0.0714,0.0714,0.0008,True,cyber_dev
30690,16,CWE-120,0.1657,0.0714,0.3071,0.0714,0.0714,0.0136,True,cyber_dev
3656,16,CWE-120,0.1653,0.0714,0.306,0.0714,0.0714,0.0068,True,cyber_dev
21030,16,CWE-120,0.1648,0.0714,0.3047,0.0714,0.0714,0.0053,True,cyber_dev
22568,16,CWE-120,0.1646,0.0714,0.3044,0.0714,0.0714,0.0181,True,cyber_dev
29240,16,CWE-120,0.1638,0.0714,0.3023,0.0714,0.0714,0.0045,True,cyber_dev
17217,16,CWE-120,0.1635,0.0714,0.3015,0.0714,0.0714,0.0053,True,cyber_dev
7698,16,CWE-120,0.1631,0.0714,0.3006,0.0714,0.0,0.0249,False,cyber_dev
3203,16,CWE-120,0.1619,0.0714,0.2976,0.0714,0.0714,0.003,True,cyber_dev
6975,16,CWE-120,0.1618,0.0714,0.2973,0.0714,0.0714,0.0075,True,cyber_dev
29367,16,CWE-120,0.1615,0.0714,0.2967,0.0714,0.0714,0.0075,True,cyber_dev
26810,16,CWE-120,0.1609,0.1,0.2522,0.1,0.1429,0.1794,True,cyber_dev
14487,16,CWE-120,0.1596,0.0714,0.2917,0.0714,0.0714,0.0,True,cyber_dev
3073,16,CWE-120,0.1592,0.0714,0.2908,0.0714,0.0714,0.0015,True,cyber_dev
25208,16,CWE-120,0.1588,0.1286,0.2113,0.1143,0.1429,0.0746,True,cyber_dev
30757,16,CWE-120,0.157,0.0714,0.2853,0.0714,0.0714,0.0,True,cyber_dev
3684,16,CWE-120,0.1566,0.0714,0.2843,0.0714,0.0714,0.0038,True,cyber_dev
581,16,CWE-120,0.1563,0.0714,0.2835,0.0714,0.0714,0.0151,True,cyber_dev
10281,16,CWE-120,0.156,0.1714,0.1544,0.1286,0.1429,0.22,True,cyber_dev
8413,16,CWE-120,0.1543,0.0857,0.2572,0.0857,0.1429,0.1824,True,cyber_dev
15639,16,CWE-120,0.1541,0.1,0.2354,0.1,0.1429,0.1997,True,cyber_dev
