group_id,layer,cwe_id,group_type,n_features,repair_rate,corruption_rate,semantic_purity,auc_val,repair_proxy,jaccard,rank_corr,auc_ok,deployable,source,n_unsafe
L23_CWE-327_A,23,CWE-327,statistical_fallback,1,0.933,0.0,1.0,0.6156,0.3929,1.0,0.5,True,True,cyber_dev,28
L23_CWE-89_B,23,CWE-89,semantic,3,0.9523,0.0,1.0,0.6463,0.3333,0.7649,0.5816,True,True,cyber_dev,7
L23_CWE-89_C,23,CWE-89,mixed_robust,3,0.9523,0.0,1.0,0.6463,0.3333,0.7649,0.5816,True,True,cyber_dev,7
L23_CWE-89_A,23,CWE-89,statistical_fallback,3,0.9523,0.0,1.0,0.6463,0.3333,0.7649,0.5816,True,True,cyber_dev,7
L23_CWE-338_B,23,CWE-338,semantic,1,1.0,0.0,1.0,0.656,0.6,1.0,0.5,True,True,cyber_dev,5
L23_CWE-338_C,23,CWE-338,mixed_robust,1,1.0,0.0,1.0,0.656,0.6,1.0,0.5,True,True,cyber_dev,5
L23_CWE-338_A,23,CWE-338,statistical_fallback,1,1.0,0.0,1.0,0.656,0.6,1.0,0.5,True,True,cyber_dev,5
L23_CWE-79_C,23,CWE-79,mixed_robust,2,0.8665,0.0,0.0,0.4925,0.1329,0.4737,-0.0526,True,False,cve_pairs,79
L23_CWE-79_A,23,CWE-79,statistical_fallback,3,0.7553,0.0,0.0,0.5017,0.1561,0.5684,0.0737,True,False,cve_pairs,79
L23_CWE-125_C,23,CWE-125,mixed_robust,1,0.867,0.0,1.0,0.5278,0.0921,1.0,0.5,True,True,cve_pairs,76
L23_CWE-125_A,23,CWE-125,statistical_fallback,3,0.6667,0.0,0.6667,0.5294,0.1842,0.5754,0.0605,True,False,cve_pairs,76
L23_CWE-787_A,23,CWE-787,statistical_fallback,2,0.6,0.0,0.0,0.517,0.1615,0.4737,-0.0526,True,False,cve_pairs,65
L23_CWE-190_C,23,CWE-190,mixed_robust,3,0.889,0.0,0.3333,0.5148,0.1451,0.5544,0.0026,True,False,cve_pairs,85
L23_CWE-190_A,23,CWE-190,statistical_fallback,3,0.889,0.0,0.3333,0.5148,0.1451,0.5544,0.0026,True,False,cve_pairs,85
L23_CWE-476_C,23,CWE-476,mixed_robust,1,0.933,0.0,1.0,0.5139,0.0933,1.0,0.5,True,True,cve_pairs,75
L23_CWE-476_A,23,CWE-476,statistical_fallback,3,0.711,0.0,0.3333,0.4895,0.0933,0.6526,0.3342,True,False,cve_pairs,75
